metropole,type_local,model,best_score_cv_search,best_params,rmse,score_r2_test,error_prix_actualise_median,error_prix_actualise_mean,shape
Métropole du Grand Paris,Appartement,random_forest,0.7889571055599807,{'rd__n_estimators': 200},1469.3859743965388,0.7423629152665966,9.20851,14.055572,"(357999, 38)"
Bordeaux Métropole,Appartement,random_forest,0.6408777404973346,{'rd__n_estimators': 200},695.8283635039036,0.44514535098081587,9.417081,13.047243,"(35602, 38)"
Bordeaux Métropole,Appartement,xgboost,0.6495437431689904,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",688.3358215017068,0.4034513092106353,9.595096,13.117453,"(35602, 38)"
Métropole du Grand Paris,Appartement,xgboost,0.8017154129482176,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",1464.7092338889518,0.7316805147523238,9.74018,14.451721,"(357999, 38)"
Montpellier Méditerranée Métropole,Appartement,xgboost,0.5963711342434251,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",540.1363314129751,0.2699688276360993,9.885208,12.87503,"(26170, 38)"
Toulouse Métropole,Appartement,random_forest,0.6393294179334118,{'rd__n_estimators': 200},556.4271536321863,0.4130179601384618,9.966724,13.139864,"(42840, 40)"
Montpellier Méditerranée Métropole,Appartement,random_forest,0.5790496147892428,{'rd__n_estimators': 200},545.4926699707559,0.3425310781810861,10.051322,12.900276,"(26170, 38)"
Toulouse Métropole,Appartement,xgboost,0.6497477657784455,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",560.027774047436,0.3277408269541918,10.237757,13.312381,"(42840, 40)"
Métropole d'Aix-Marseille-Provence,Appartement,random_forest,0.6153162579271652,{'rd__n_estimators': 200},641.3748129506541,0.5264597979096547,10.512913,14.953197,"(76357, 37)"
Métropole Européenne de Lille,Appartement,random_forest,0.7174573957531596,{'rd__n_estimators': 200},555.9868691571128,0.5600195577780773,10.596514,13.825753,"(30865, 36)"
Métropole Européenne de Lille,Appartement,xgboost,0.7220423755333143,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",556.3796241107834,0.5246989953155792,10.86697,14.040762,"(30865, 36)"
Métropole de Lyon,Appartement,random_forest,0.6627217149686411,{'rd__n_estimators': 200},748.1594559881261,0.4687861873116177,11.015688,14.03152,"(76347, 37)"
Métropole d'Aix-Marseille-Provence,Appartement,xgboost,0.6322564703827639,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",646.9659199684852,0.4636962978253092,11.017399,15.373294,"(76357, 37)"
Métropole d'Aix-Marseille-Provence,Maison,random_forest,0.47001444573502965,{'rd__n_estimators': 200},801.4526362327516,-0.13190366272026033,11.257954,15.067175,"(29341, 37)"
Métropole d'Aix-Marseille-Provence,Maison,xgboost,0.4853673557354452,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",790.9075055035918,-0.13147746683491524,11.302956,14.948788,"(29341, 37)"
Toulouse Métropole,Maison,xgboost,0.4750583390531751,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",677.2100678911917,-0.12173002991563009,11.35549,15.138193,"(13655, 38)"
Nantes Métropole,Appartement,random_forest,0.5744228012346483,{'rd__n_estimators': 200},614.7037125654991,0.19236872659543436,11.424538,13.884825,"(32009, 38)"
Toulouse Métropole,Maison,random_forest,0.47127860346344924,{'rd__n_estimators': 200},693.4991209840031,-0.1965000319339627,11.518211,15.396317,"(13655, 38)"
Nantes Métropole,Maison,xgboost,0.46349422827185166,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",695.8720009780344,-0.40811145557460793,11.527115,13.643891,"(19258, 40)"
Métropole de Lyon,Appartement,xgboost,0.6771139424842776,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",756.2895405071226,0.3878554639573625,11.554088,14.324105,"(76347, 37)"
Nantes Métropole,Maison,random_forest,0.453352804405526,{'rd__n_estimators': 200},710.3226877121273,-0.479248384562764,11.613076,13.890534,"(19258, 40)"
Bordeaux Métropole,Maison,random_forest,0.470818745553697,{'rd__n_estimators': 200},864.0603550902966,-0.09049469147459033,11.621859,15.758923,"(22822, 39)"
Nantes Métropole,Appartement,xgboost,0.59180824447153,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",611.4583409901363,0.09587661790818336,11.681031,13.993152,"(32009, 38)"
Bordeaux Métropole,Maison,xgboost,0.48629233891875234,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",848.701268261986,-0.0885412262961971,11.766764,15.549792,"(22822, 39)"
Métropole Nice Côte d'Azur,Appartement,random_forest,0.46845611675362314,{'rd__n_estimators': 200},898.3627860619127,0.0341158318905419,11.79171,15.906673,"(52565, 39)"
Métropole Nice Côte d'Azur,Appartement,xgboost,0.49816569072682926,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",897.9778269188067,-0.12178476233831104,12.016919,16.12585,"(52565, 39)"
Métropole Européenne de Lille,Appartement,linear,0.6858369994628712,{'poly_features__degree': 1},603.8351279567621,0.39886379596041344,12.019438,15.1667,"(30865, 36)"
